symbol_2025,symbol_2007
01,01
01.1,01.1
01.11,01.11
01.12,01.12
01.13,01.13
01.14,01.14
01.15,01.15
01.16,01.16
01.19,01.19
01.2,01.2
01.21,01.21
01.22,01.22
01.23,01.23
01.24,01.24
01.25,01.25
01.26,01.26
01.27,01.27
01.28,01.28
01.29,01.29
01.3,01.3
01.30,01.30
01.4,01.4
01.41,01.41
01.42,01.42
01.43,01.43
01.44,01.44
01.45,01.45
01.46,01.46
01.47,01.47
01.48,01.49
01.5,01.5
01.50,01.50
01.6,01.6
01.61,01.61
01.62,01.62
01.63,01.63
01.7,01.7
01.70,01.70
02,02
02.1,02.1
02.10,02.10
02.2,02.2
02.20,02.20
02.3,02.3
02.30,02.30
02.4,02.4
02.40,02.40
03,03
03.1,03.1
03.11,03.11
03.12,03.12
03.2,03.2
03.21,03.21
03.22,03.22
03.3,03.1
03.30,03.11
05,05
05.1,05.1
05.10,05.10
05.2,05.2
05.20,05.20
06,06
06.1,06.1
06.10,06.10
06.2,06.2
06.20,06.20
07,07
07.1,07.1
07.10,07.10
07.2,07.2
07.21,07.21
07.29,07.29
08,08
08.1,08.1
08.11,08.11
08.12,08.12
08.9,08.9
08.91,08.91
08.92,08.92
08.93,08.93
08.99,08.99
09,09
09.1,09.1
09.10,09.10
09.9,09.9
09.90,09.90
10,10
10.1,10.1
10.11,10.11
10.12,10.12
10.13,10.13
10.2,10.2
10.20,10.20
10.3,10.3
10.31,10.31
10.32,10.32
10.39,10.39
10.4,10.4
10.41,10.41
10.42,10.42
10.5,10.5
10.51,10.51
10.52,10.52
10.6,10.6
10.61,10.61
10.62,10.62
10.7,10.7
10.71,10.71
10.72,10.72
10.73,10.73
10.8,10.8
10.81,10.81
10.82,10.82
10.83,10.83
10.84,10.84
10.85,10.85
10.86,10.86
10.89,10.89
10.9,10.9
10.91,10.91
10.92,10.92
11,11
11.0,11.0
11.01,11.01
11.02,11.02
11.03,11.03
11.04,11.04
11.05,11.05
11.06,11.06
11.07,11.07
12,12
12.0,12.0
12.00,12.00
13,13
13.1,13.1
13.10,13.10
13.2,13.2
13.20,13.20
13.3,13.3
13.30,13.30
13.9,13.9
13.91,13.91
13.92,13.92
13.93,13.93
13.94,13.94
13.95,13.95
13.96,13.96
13.99,13.99
14,14
14.1,14.3
14.10,14.39
14.2,14.2
14.21,14.13
14.22,14.14
14.23,14.12
14.24,14.11
14.29,14.19
15,15
15.1,15.1
15.11,15.11
15.12,15.12
15.2,15.2
15.20,15.20
16,16
16.1,16.1
16.11,16.10
16.12,16.10
16.2,16.2
16.21,16.21
16.22,16.22
16.23,16.23
16.24,16.24
16.25,16.23
16.26,16.29
16.27,16.29
16.28,16.29
17,17
17.1,17.1
17.11,17.11
17.12,17.12
17.2,17.2
17.21,17.21
17.22,17.22
17.23,17.23
17.24,17.24
17.25,17.29
18,18
18.1,18.1
18.11,18.11
18.12,18.12
18.13,18.13
18.14,18.14
18.2,18.2
18.20,18.20
19,19
19.1,19.1
19.10,19.10
19.2,19.2
19.20,19.20
20,20
20.1,20.1
