typ,symbol,nazwa
SEKCJA,A,"ROLNICTWO, LEŚNICTWO I RYBACTWO"
DZIAŁ,01,"UPRAWY ROLNE, CHÓW I HODOWLA ZWIERZĄT, ŁOWIECTWO, W TYM DZIAŁALNOŚĆ USŁUGOWA"
GRUPA,01.1,Uprawy rolne inne niż wieloletnie
KLASA,01.11,"Uprawa zbóż innych niż ryż, roślin strączkowych i roślin oleistych na nasiona"
PODKLASA,01.11.Z,"Uprawa zbóż innych niż ryż, roślin strączkowych i roślin oleistych na nasiona"
KLASA,01.12,Uprawa ryżu
PODKLASA,01.12.Z,Uprawa ryżu
KLASA,01.13,"Uprawa warzyw, włączając melony oraz uprawa roślin korzeniowych i roślin bulwiastych"
PODKLASA,01.13.Z,"Uprawa warzyw, włączając melony oraz uprawa roślin korzeniowych i roślin bulwiastych"
KLASA,01.14,Uprawa trzciny cukrowej
PODKLASA,01.14.Z,Uprawa trzciny cukrowej
KLASA,01.15,Uprawa tytoniu
PODKLASA,01.15.Z,Uprawa tytoniu
KLASA,01.16,Uprawa roślin włóknistych
PODKLASA,01.16.Z,Uprawa roślin włóknistych
KLASA,01.19,Pozostałe uprawy rolne inne niż wieloletnie
PODKLASA,01.19.Z,Pozostałe uprawy rolne inne niż wieloletnie
GRUPA,01.2,Uprawa roślin wieloletnich
KLASA,01.21,Uprawa winogron
PODKLASA,01.21.Z,Uprawa winogron
KLASA,01.22,Uprawa drzew i krzewów owocowych tropikalnych i podzwrotnikowych
PODKLASA,01.22.Z,Uprawa drzew i krzewów owocowych tropikalnych i podzwrotnikowych
KLASA,01.23,Uprawa drzew i krzewów owocowych cytrusowych
PODKLASA,01.23.Z,Uprawa drzew i krzewów owocowych cytrusowych
KLASA,01.24,Uprawa drzew i krzewów owocowych ziarnkowych i pestkowych
PODKLASA,01.24.Z,Uprawa drzew i krzewów owocowych ziarnkowych i pestkowych
KLASA,01.25,Uprawa pozostałych drzew i krzewów owocowych oraz orzechowych
PODKLASA,01.25.Z,Uprawa pozostałych drzew i krzewów owocowych oraz orzechowych
KLASA,01.26,Uprawa drzew oleistych
PODKLASA,01.26.Z,Uprawa drzew oleistych
KLASA,01.27,Uprawa roślin wykorzystywanych do produkcji napojów
PODKLASA,01.27.Z,Uprawa roślin wykorzystywanych do produkcji napojów
KLASA,01.28,Uprawa roślin przyprawowych i aromatycznych oraz roślin wykorzystywanych do produkcji leków i wyrobów farmaceutycznych
PODKLASA,01.28.Z,Uprawa roślin przyprawowych i aromatycznych oraz roślin wykorzystywanych do produkcji leków i wyrobów farmaceutycznych
KLASA,01.29,Uprawa pozostałych roślin wieloletnich
PODKLASA,01.29.Z,Uprawa pozostałych roślin wieloletnich
GRUPA,01.3,Rozmnażanie roślin
KLASA,01.30,Rozmnażanie roślin
PODKLASA,01.30.Z,Rozmnażanie roślin
GRUPA,01.4,Chów i hodowla zwierząt
KLASA,01.41,Chów i hodowla bydła mlecznego
PODKLASA,01.41.Z,Chów i hodowla bydła mlecznego
KLASA,01.42,Chów i hodowla pozostałego bydła i bawołów
PODKLASA,01.42.Z,Chów i hodowla pozostałego bydła i bawołów
KLASA,01.43,Chów i hodowla koni i pozostałych zwierząt koniowatych
PODKLASA,01.43.Z,Chów i hodowla koni i pozostałych zwierząt koniowatych
KLASA,01.44,Chów i hodowla wielbłądów i zwierząt wielbłądowatych
PODKLASA,01.44.Z,Chów i hodowla wielbłądów i zwierząt wielbłądowatych
KLASA,01.45,Chów i hodowla owiec i kóz
PODKLASA,01.45.Z,Chów i hodowla owiec i kóz
KLASA,01.46,Chów i hodowla świń
PODKLASA,01.46.Z,Chów i hodowla świń
KLASA,01.47,Chów i hodowla drobiu
PODKLASA,01.47.Z,Chów i hodowla drobiu
KLASA,01.48,Chów i hodowla pozostałych zwierząt
PODKLASA,01.48.Z,Chów i hodowla pozostałych zwierząt
GRUPA,01.5,Uprawy rolne połączone z chowem i hodowlą zwierząt (działalność mieszana)
KLASA,01.50,Uprawy rolne połączone z chowem i hodowlą zwierząt (działalność mieszana)
PODKLASA,01.50.Z,Uprawy rolne połączone z chowem i hodowlą zwierząt (działalność mieszana)
GRUPA,01.6,Działalność usługowa wspomagająca rolnictwo i następująca po zbiorach
KLASA,01.61,Działalność usługowa wspomagająca produkcję roślinną
PODKLASA,01.61.Z,Działalność usługowa wspomagająca produkcję roślinną
KLASA,01.62,Działalność usługowa wspomagająca chów i hodowlę zwierząt gospodarskich
PODKLASA,01.62.Z,Działalność usługowa wspomagająca chów i hodowlę zwierząt gospodarskich
KLASA,01.63,Działalność usługowa następująca po zbiorach oraz obróbka nasion dla celów rozmnażania roślin
PODKLASA,01.63.Z,Działalność usługowa następująca po zbiorach oraz obróbka nasion dla celów rozmnażania roślin
GRUPA,01.7,"Łowiectwo i pozyskiwanie zwierząt łownych, włączając działalność usługową"
KLASA,01.70,"Łowiectwo i pozyskiwanie zwierząt łownych, włączając działalność usługową"
PODKLASA,01.70.Z,"Łowiectwo i pozyskiwanie zwierząt łownych, włączając działalność usługową"
DZIAŁ,02,LEŚNICTWO I POZYSKIWANIE DREWNA
GRUPA,02.1,"Gospodarka leśna i pozostała działalność leśna, z wyłączeniem pozyskiwania produktów leśnych"
KLASA,02.10,"Gospodarka leśna i pozostała działalność leśna, z wyłączeniem pozyskiwania produktów leśnych"
PODKLASA,02.10.Z,"Gospodarka leśna i pozostała działalność leśna, z wyłączeniem pozyskiwania produktów leśnych"
GRUPA,02.2,Pozyskiwanie drewna
KLASA,02.20,Pozyskiwanie drewna
